30 12
0	0	0	0	0	0	0	0	0	0	0	0
0	5	10	10	10	5	8	11	12	12	11	10
0	0	5	11	41	18	14	12	10	5	4	3
0	0	0	3	10	11	13	7	0	0	0	0
0	0	0	0	4	9	15	9	6	2	1	0
0	0	0	0	9	7	7	4	2	0	0	0
0	0	0	10	58	10	10	10	0	0	0	0
0	0	0	0	7	12	14	20	28	0	0	0
0	0	0	0	0	3	12	14	27	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	5	10	10	10	5	8	11	12	12	11	10
0	0	5	11	34	18	14	63	10	5	4	3
0	0	0	3	10	11	13	7	0	0	0	0
0	0	0	0	4	9	15	9	6	2	1	0
0	0	0	0	8	7	7	4	2	0	0	0
0	0	0	10	10	99	10	10	0	0	0	0
0	0	0	0	7	12	14	20	28	0	0	0
0	0	0	0	0	3	12	14	27	0	0	0
0	0	0	0	0	0	100	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	5	10	10	10	5	8	11	12	12	11	10
0	0	5	11	14	18	14	12	10	5	4	3
0	0	0	3	50	11	13	7	0	0	0	0
0	0	0	0	4	100	15	9	6	2	1	0
0	0	0	0	4	7	7	4	2	0	0	0
0	0	0	10	10	10	10	10	0	0	0	0
0	0	0	0	7	12	14	20	82	0	0	0
0	0	0	0	0	3	12	14	27	0	0	0
0	0	0	0	0	2	11	13	26	0	0	0
0	0	0	0	0	1	10	12	25	0	0	0
